Sentence #,noakhali_word,bio_tag
Sentence: 1,কেইক্কান,O
,আছেন,O
Sentence: 2,আইজ্জা,O
,আর,O
,মন,O
,ভালা,O
,নাই,O
Sentence: 3,তুমি,O
,কিআ,O
,করর,O
Sentence: 4,এতো,O
,গরমে,O
,আর,O
,কিচ্ছু,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 5,পোলাডা,O
,একটা,O
,সাদা,B-COL
,রং,I-COL
,এর,O
,শার্ট,B-OBJ
,পড়ি,O
,আইসিলো,O
Sentence: 6,মাইয়াডা,O
,লাল,B-COL
,রং,I-COL
,এর,O
,শাড়ি,B-OBJ
,পরি,O
,আমার,O
,লগে,O
,দেখা,O
,করতে,O
,আইসিলো,O
Sentence: 7,পোলাডা,O
,সিলেট,B-LOC
,থেইকা,O
,ঢাকায়,B-LOC
,আইসে,O
Sentence: 8,মাইয়াডা,O
,সিলেট,B-LOC
,থেইকা,O
,আশা,O
,পোলাডারে,O
,অনেক,O
,ভালোবাসে,O
Sentence: 9,পোলাডা,O
,মাইয়াডারে,O
,এখনো,O
,ভালোবাসার,O
,চোখে,O
,দেখেনো,O
Sentence: 10,মাইয়াদা,O
,হিগার,O
,স্বপ্নের,O
,ভিতরে,O
,খালি,O
,পোলাগারে,O
,লই,O
,চিন্তা,O
,করতে,O
,থাকে,O
Sentence: 11,আর,O
,অনেকদিন,O
,আগে,O
,একবার,O
,বিয়া,O
,অইছিলো,O
Sentence: 12,আর,O
,মা,B-REL
,অরে,O
,কৈসিলো,O
,বিয়া,O
,হইলে,O
,জীবন,O
,পরিবর্তন,O
,হয়ে,O
,যায়,O
Sentence: 13,মা,B-REL
,যেদিন,O
,ঠিক,O
,কথা,O
,যে,O
,কৈসিলো,O
Sentence: 14,আম্মা,B-REL
,বেক,O
,সময়,O
,আর,O
,মনের,O
,কথা,O
,বুঝে,O
Sentence: 15,আনগো,O
,বাসার,O
,কামের,B-ROLE
,মাইয়া,I-ROLE
,ইগা,O
,ওন,O
,আর,O
,ভালা,O
,কাম,O
,করে,O
,না,O
Sentence: 16,আনগো,O
,বাসার,O
,কামের,B-ROLE
,মাইয়া,I-ROLE
,ইগা,O
,দুইদিন,O
,ধরি,O
,পলাইরৈসে,O
Sentence: 17,আনগো,O
,বাড়ির,O
,দারোয়ান,B-ROLE
,হেতের,O
,গ্রামের,B-LOC
,বাড়ি,I-LOC
,গেচে,O
,গুরবার,O
,লাই,O
Sentence: 18,আন্নেরে,O
,আই,O
,কল,O
,দিমু,O
,না,O
Sentence: 19,ইয়ান,O
,বেশি,O
,অসইজ্যো,O
,আসিল,O
