Sentence #,barishal_word,bio_tag
Sentence: 1,আসো,O
,কোরোহম,O
Sentence: 2,আইজ,O
,মোর,O
,মনডা,O
,ভালোনা,O
Sentence: 3,ও,O
,মোনু,O
,হর,O
,কি,O
Sentence: 4,এই,O
,থাডা,O
,পরা,O
,গরমে,O
,মোর,O
,কিস্সু,O
,ভাল্লাগেনা,O
Sentence: 5,পলাউগ্গা,O
,এউক্কা,O
,ধলা,B-COL
,রং,I-COL
,এর,O
,এউক্কা,O
,গুন্জি,B-OBJ
,পইর্রা,O
,আইসেল,O
Sentence: 6,মাইআউগ্গা,O
,লাল,B-COL
,রুঙ্গা,I-COL
,শাড়ি,B-OBJ
,পইর্রা,O
,মর,O
,লগে,O
,দেহা,O
,হর্তে,O
,আইসিলো,O
Sentence: 7,পলাউগ্গা,O
,শ্যলেত,B-LOC
,দিয়া,O
,ধাহা,B-LOC
,আইসেলে,O
Sentence: 8,মাইআউগ্গা,O
,শ্যলেত,B-LOC
,দিআ,O
,আঔআ,O
,পলাউগ্গারে,O
,আক্সের,O
,ভালপায়,O
Sentence: 9,পলাউগ্গা,O
,মাইআউগ্গারে,O
,আহন,O
,ভালপাঔআর,O
,ছহে,O
,দেহেনাই,O
Sentence: 10,মাইআউগ্গা,O
,হেয়ার,O
,শব,O
,হপ্পনের,O
,মইদ্ধে,O
,পলাউগ্গারে,O
,ভাব্তে,O
,থাহে,O
Sentence: 11,মর,O
,বহুত,O
,দিন,O
,আগের্গ,O
,এউক্কা,O
,বিয়া,O
,হইসেলে,O
Sentence: 12,মর,O
,মাএ,B-REL
,মরে,O
,কইসেলে,O
,বিআ,O
,হর্লে,O
,জিবন,O
,পরিবর্তন,O
,হইআ,O
,জায়,O
Sentence: 13,মাএ,B-REL
,অইদিন,O
,হাস্সইঅ,O
,কথাই,O
,কইসেলে,O
Sentence: 14,মাএ,B-REL
,শব্কালে,O
,মর,O
,কইল্যার,O
,কথাউগ্গা,O
,বঝে,O
Sentence: 15,ঘরের,O
,কামের,B-ROLE
,সেম্রি,I-ROLE
,আহন,O
,থিক্কইর্রা,O
,কাম,O
,হরে,O
,না,O
Sentence: 16,মর,O
,ঘরের,O
,কামের,B-ROLE
,সেম্রি,I-ROLE
,দুই,O
,দিন,O
,ধইর্রা,O
,পলাইন্না,O
Sentence: 17,মর,O
,ঘরের,B-LOC
,দারআন,B-ROLE
,আহন,O
,অই,O
,সেম্রির,O
,গেরামে,B-LOC
,ঘর্তে,O
,গেসে,O
Sentence: 18,তমারে,O
,মুই,O
,কল্,O
,দিমুনা,O
Sentence: 19,এই,O
,জিনিশ,O
,খান,O
,আক্কালে,O
,অনেক,O
,গা,O
,জলুইন্না,O
,আসেল,O
Sentence: 20,হে,O
,শ্যলেত,B-LOC
,দিআ,O
,মর,O
,লগে,O
,দেহা,O
,কর্তে,O
,আইসেলে,O
Sentence: 21,হে,O
,আহন,O
,রাজ্শাহি,B-LOC
,গেসিগ্গা,O
Sentence: 22,উনি,O
,আহন,O
,হেয়ার,O
,দস্গ,B-REL
,গ,O
,লগে,O
,বিরি,B-OBJ
,খায়,O
Sentence: 23,হে,O
,আক্কালেই,O
,ভেত্কায়,O
,না,O
Sentence: 24,হে,O
,মরে,O
