Sentence #,mymensingh_word,bio_tag
Sentence: 3131,মা,O
,ঠিকই,O
,কইসিন,O
Sentence: 2385,আফনের,O
,লগে,O
,আমার,O
,একটা,O
,জরুরি,O
,কথা,O
,আসে,O
Sentence: 1,কেমত,O
,আছো,O
Sentence: 763,তোমারে,O
,ছাইড়া,O
,আমি,O
,ভালা,O
,নাই,O
Sentence: 2464,শশা,B-FOOD
,খাইতে,O
,অনেক,O
,সুস্বাদু,O
Sentence: 1521,চিঠি,B-OBJ
,সাধারণত,O
,খামে,B-OBJ
,ভইরা,O
,পাঠানো,O
,হয়,O
Sentence: 1153,মাইয়া,O
,হের,O
,পরিবার,O
,নিয়া,O
,ঈদের,O
,কয়েকদিন,O
,আগে,O
,দেশে,B-LOC
,আসার,O
,কথা,O
,আসিল,O
Sentence: 2661,ছেড়াডা,O
,ডাকাত,B-LOC
,আইসে,O
Sentence: 2367,তুমি,O
,এক্কেরেই,O
,না,O
,বুইজ্ঝা,O
,বেশী,O
,কথা,O
,কও,O
Sentence: 26,আফনের,O
,কি,O
,বই,B-OBJ
,পড়ার,O
,অভ্যাস,O
,আসে,O
Sentence: 1560,বাসাত,O
,যাওনের,O
,পথে,O
,ফ্লাইওভার,B-LOC
,দেইক্ষা,O
,হাবিব,B-PER
,অবাক,O
,হয়া,O
,গেল,O
Sentence: 2656,আইন্নের,O
,বেহের,O
,তে,O
,কাসের,O
,মানুষডা,O
,কেডা,O
Sentence: 535,আফনে,O
,আমার,O
,সাথে,O
,এম্নে,O
,কথা,O
,কইতে,O
,ফারেন,O
,না,O
Sentence: 3123,চুরি,O
,হইয়া,O
,গেসে,O
Sentence: 828,আমি,O
,তো,O
,ভাবলাম,O
,শাশুড়ি,B-REL
,আম্মা,I-REL
,আমার,O
,লাইজ্ঞা,O
,রাইন্দা,O
,পাঠাইসেন,O
Sentence: 1473,হেয়,O
,তো,O
,বুঝবনা,O
Sentence: 2276,হেয়,O
,বিবাহিত,O
,তাই,O
,মামলা,O
,করতে,O
,চাইতাসে,O
,না,O
Sentence: 1349,এরপর,O
,আমার,O
,লগে,O
,যোগাযোগ,O
,রাহে,O
,নাই,O
Sentence: 2424,ছেড়াডার,O
,ঘটনা,O
,হুইন্না,O
,আমরা,O
,তারে,O
,সাহায্য,O
,করি,O
Sentence: 2158,আমার,O
,বন্ধু,B-REL
,এইবার,O
,ছুটিতে,O
,রাজশাহী,B-LOC
,ঘুরতে,O
,যাইব,O
Sentence: 3359,আমি,O
,চিংড়িডা,B-FOOD
,খাইবার,I-FOOD
,পসন্দ,O
,করি,O
Sentence: 504,সহালে,O
,পড়াশোনা,O
,কইরা,O
,প্রত্যেকদিন,O
,শুরু,O
,করা,O
,ভালা,O
,হয়,O
Sentence: 2872,অসুস্থ,O
,হইয়া,O
