Sentence #,sylhet_word,bio_tag
Sentence: 3131,শুক্রবার,O
,আমি,O
,ওখানো,O
,যাইমু,O
Sentence: 2385,আফনার,O
,লগে,O
,দরখারি,O
,খতা,O
,আছে,O
Sentence: 1,ভালা,O
,আছনি,O
Sentence: 763,তুমিতাইনরে,O
,ছাড়া,O
,আমি,O
,বালা,O
,নাই,O
Sentence: 2464,শশা,B-FOOD
,খাইতে,O
,বহুত,O
,সুস্বাদু,O
Sentence: 1521,চিঠি,B-OBJ
,সাধারণত,O
,খাম,B-OBJ
,ওর,O
,মাঝে,O
,ভরিয়া,O
,পাঠানি,O
,ওয়,O
Sentence: 1153,ফুড়ি,O
,তাইর,O
,পরিবার,O
,লইয়া,O
,ইদর,O
,খয়েকদিন,O
,আগে,O
,দেশো,B-LOC
,আওয়ার,O
,খতা,O
,আছিল,O
Sentence: 2661,ফুয়াটায়,O
,ঢাকাত,B-LOC
,আইছে,O
Sentence: 2367,তুমি,O
,ফুরা,O
,না,O
,বুজিয়া,O
,মাতো,O
Sentence: 26,আফনার,O
,কিতা,O
,বই,B-OBJ
,পড়ার,O
,অভ্যাস,O
,আছে,O
,নি,O
Sentence: 1560,বাসাত,O
,যাওয়ার,O
,সময়,O
,ফ্লাইওভার,B-LOC
,দেখিয়া,O
,হাবিব,B-PER
,অবাক,O
,ওই,O
,গেছে,O
Sentence: 2656,আফনার,O
,সব,O
,তাকি,O
,কাছ,O
,ওর,O
,মানুষ,O
,কে,O
Sentence: 535,আফনে,O
,আমার,O
,লগে,O
,ওলা,O
,মাত্তা,O
,ফারোইন,O
,না,O
Sentence: 3123,চুরি,O
,অই,O
,গেছে,O
Sentence: 828,আমি,O
,তো,O
,ভাবিয়ার,O
,হরি,B-REL
,আম্মায়,I-REL
,আমার,O
,লাগি,O
,রান্দিয়া,O
,পাঠাইছইন,O
Sentence: 1473,হে,O
,তো,O
,বুঝতো,O
,নায়,O
Sentence: 2276,হে,O
,বিয়াতি,O
,তাই,O
,মামলা,O
,করতে,O
,চার,O
,না,O
Sentence: 1349,এরবাদে,O
,তাইন,O
,মোর,O
,লগে,O
,আর,O
,যুগাযুগ,O
,রাখছইন,O
,না,O
Sentence: 2424,ফুয়া,O
,ইগুর,O
,হক্কলতা,O
,হুনিয়া,O
,আমার,O
,তারে,O
,সাহায্য,O
,করছি,O
Sentence: 2158,আমার,O
,বন্ধু,B-REL
,এবার,O
,ছুটিতে,O
,রাজশাহী,B-LOC
,ফাকানিত,O
,যাইবো,O
Sentence: 3359,আমার,O
,ইচা,B-FOOD
,মাছ,I-FOOD
,খাইতে,O
,বেশি,O
,ভালা,O
,লাগে,O
Sentence: 504,সকাইলকু,O
,পড়িয়া,O
,প্রতিদিন,O
,শুরু,O
,করলে,O
,বালা,O
Sentence: 2872,অসুস্থ,O
,ওই,O
,গেছিলাম,O
Sentence: 2923,আমি,O
,অবাক,O
,ওই,O
,গেছলাম,O
Sentence: 1407,মুই,O
,কিন্তু,O
,অলা,O
,ভাবিছি,O
,না,O
,যেন,O
,তাইন,O
,মনো,O
,রাখলা,O
,না,O
,তে,O
,আমি,O
,খেনে,O
,রাখাত,O
,যাইতাম,O
Sentence: 207,পুরানা,O
,দিনর,O
,মাত,O
,মনো,O
,পড়ি,O
,গেলো,O
Sentence: 2951,দুই,O
,পুয়া,B-REL
,আছিল্,O
